mode,strategy_id,strategy_name,player_count,win,loss_reason,turns,progress,safety,accident,hazards,redraws_used,completed_tasks,knowledge_count,avg_contribution,max_contribution,min_contribution
challenge,none,无策略,4,0,progress_shortfall,8,3,2,2,2,1,3,9,2.25,4,1
challenge,none,无策略,4,0,progress_shortfall,8,3,2,2,3,1,3,8,2.5,4,1
challenge,none,无策略,4,0,progress_shortfall,8,4,1,3,1,1,4,8,2.5,4,1
challenge,none,无策略,4,0,progress_shortfall,8,4,3,1,2,1,4,9,2.5,4,1
challenge,none,无策略,4,0,safety_zero,4,0,0,4,6,1,0,4,0.5,1,0
challenge,none,无策略,4,0,safety_zero,7,2,0,2,1,1,2,8,2,4,0
challenge,none,无策略,4,0,hazard_overflow,4,1,6,0,5,1,1,4,0.75,2,0
challenge,none,无策略,4,0,progress_shortfall,8,4,5,1,1,1,4,8,2.75,4,1
challenge,none,无策略,4,0,hazard_overflow,3,0,5,0,5,1,0,3,0.25,1,0
challenge,none,无策略,4,0,progress_shortfall,8,5,7,0,0,1,5,7,3,4,2
challenge,none,无策略,4,0,safety_zero,5,2,-1,4,4,1,2,6,1,2,0
