mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,risk_isolation,风险隔离,stop,暂停当前步骤,4759,0.1349
standard,balanced+balanced,risk_isolation,风险隔离,ppe,补全PPE,1233,0.035
standard,balanced+balanced,risk_isolation,风险隔离,label,核对标签与记录,2247,0.0637
standard,balanced+balanced,risk_isolation,风险隔离,hood,使用通风橱,2664,0.0755
standard,balanced+balanced,risk_isolation,风险隔离,waste,分类回收,1368,0.0388
standard,balanced+balanced,risk_isolation,风险隔离,cleanup,隔离与清理,2741,0.0777
standard,balanced+balanced,risk_isolation,风险隔离,emergency,使用应急设施,3639,0.1032
standard,balanced+balanced,risk_isolation,风险隔离,report,上报负责人,4611,0.1307
standard,balanced+balanced,risk_isolation,风险隔离,shutdown,切断热源/电源,4644,0.1317
standard,balanced+balanced,risk_isolation,风险隔离,inspect,检查并更换器材,2333,0.0661
standard,balanced+balanced,risk_isolation,风险隔离,secure,固定与规范连接,750,0.0213
standard,balanced+balanced,risk_isolation,风险隔离,evacuate,撤离与警戒,4285,0.1215
